"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016"
"01","Canada",,T,35151728,15412443,14072079
"A0A","A0A","Newfoundland and Labrador",,46587,26155,19426
"A0B","A0B","Newfoundland and Labrador",,19792,13658,8792
"A0C","A0C","Newfoundland and Labrador",,12587,8010,5606
"A0E","A0E","Newfoundland and Labrador",,22294,12293,9603
"A0G","A0G","Newfoundland and Labrador",,35266,21750,15200
"A0H","A0H","Newfoundland and Labrador",,17804,9928,7651
"A0J","A0J","Newfoundland and Labrador",,7880,4813,3426
"A0K","A0K","Newfoundland and Labrador",,26058,15159,11090
"A0L","A0L","Newfoundland and Labrador",,7643,3769,3178
"A0M","A0M","Newfoundland and Labrador",,6200,3247,2769
"A0N","A0N","Newfoundland and Labrador",,13815,8027,6370
"A0P","A0P","Newfoundland and Labrador",,13721,5123,4677
"A0R","A0R","Newfoundland and Labrador",,2543,1293,966
"A1A","A1A","Newfoundland and Labrador",,30382,13545,12663
"A1B","A1B","Newfoundland and Labrador",,19867,10051,8653
"A1C","A1C","Newfoundland and Labrador",,12712,7438,6453
"A1E","A1E","Newfoundland and Labrador",,27115,13704,12553
"A1G","A1G","Newfoundland and Labrador",,5777,2646,2483
"A1H","A1H","Newfoundland and Labrador",,5493,2102,1984
"A1K","A1K","Newfoundland and Labrador",,12253,4646,4438
"A1L","A1L","Newfoundland and Labrador",,21376,8659,8035
"A1M","A1M","Newfoundland and Labrador",,8058,3181,2996
"A1N","A1N","Newfoundland and Labrador",,22957,10381,9605
"A1S","A1S","Newfoundland and Labrador",,6142,2374,2304
"A1V","A1V","Newfoundland and Labrador",,11698,5172,4892
"A1W","A1W","Newfoundland and Labrador",,11209,4549,4269
"A1X","A1X","Newfoundland and Labrador",,15003,6007,5668
"A1Y","A1Y","Newfoundland and Labrador",,5669,2627,2321
"A2A","A2A","Newfoundland and Labrador",,9610,4345,4118
"A2B","A2B","Newfoundland and Labrador",,4909,2740,2127
"A2H","A2H","Newfoundland and Labrador",,26092,12628,11227
"A2N","A2N","Newfoundland and Labrador",,8904,4348,4048
"A2V","A2V","Newfoundland and Labrador",,7288,3500,2933
"A5A","A5A","Newfoundland and Labrador",,8111,3830,3284
"A8A","A8A","Newfoundland and Labrador",,6901,4041,2865
"B0C","B0C","Nova Scotia",,2649,1689,1161
